Owner,Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kev,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.51100000000001
Vlad,3bYLRndI3qoLQqgPalT8CY,Grapevine,Tiësto,Grapevine,0.7140000000000001,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.20800000000000002,124.03399999999999
Vlad,089tprIgsyFSOrZpugamLI,Blame,Ekali,Blame,0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.11699999999999999,91.99799999999999
Vlad,77BDJDKKWm11KXQh0Sv4Jf,Dare Me,NERVO,Dare Me,0.8170000000000001,0.7759999999999999,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03
Vlad,4c6PicLrAOwfkA7yEMwmI5,Awaken - Edit,Cosmic Gate,Awaken,0.618,0.74,8,-7.159,0,0.0375,0.34299999999999997,0.00583,0.436,0.251,127.988
Vlad,5GhUo54Y3EyfthHdz3cTkq,Coming On Strong - Edit,Gabriel & Dresden,Coming On Strong,0.645,0.7879999999999999,1,-5.322,1,0.0348,0.0019399999999999999,0.0252,0.0657,0.249,128.023
Vlad,5ACwo10wriynSukEbWfclv,There Will Be Angels,Ben Gold,Sound Advice (Chapter One),0.511,0.9279999999999999,1,-5.787000000000001,1,0.0648,0.00556,0.0,0.0605,0.195,133.90200000000002
Vlad,69JVxHk5lLPAHdVulVTPi5,Let It Be Me,Steve Aoki,Let It Be Me,0.6609999999999999,0.758,7,-5.2989999999999995,1,0.0864,0.0797,0.0,0.106,0.387,114.098
Vlad,6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],0.563,0.81,2,-2.9210000000000003,1,0.0522,0.005220000000000001,0.0,0.0846,0.495,129.975
Vlad,5PjJaR0zdOjFtYuCkmH2WX,I Am You,Ferry Corsten,I Am You,0.545,0.9740000000000001,11,-5.997999999999999,0,0.0359,0.000134,0.826,0.19,0.461,127.999
Vlad,7m7wUp1RfcwQHHLl8DGcUS,Sirin,Estiva,Metamorphoses,0.628,0.9640000000000001,8,-5.928999999999999,1,0.129,0.0756,0.861,0.442,0.0231,124.99600000000001
Vlad,4y78bEIRTzNe2RbGAnX8zU,My Life,ZHU,RINGOS DESERT,0.755,0.557,0,-7.985,0,0.0373,0.257,0.0524,0.10300000000000001,0.21,109.98299999999999
Vlad,6iC7vapdKp0XlKhxOkp8QJ,BOOM,Tiësto,BOOM,0.8859999999999999,0.84,2,-3.386,1,0.0502,0.0164,0.006220000000000001,0.32899999999999996,0.203,123.035
Vlad,0goj2jVaUvxQP2zsyt7Xol,Don't Call Me Up - R3HAB Remix,Mabel,Don't Call Me Up (Remixes),0.752,0.812,6,-4.41,0,0.183,0.287,2.45e-05,0.0897,0.58,108.05
Vlad,1OSCfGPskfxarroklhA9LU,Nothing But You (feat. Hemstock & Jennings),Paul van Dyk,Reflections,0.5329999999999999,0.932,8,-6.845,1,0.0368,0.000204,0.883,0.251,0.0554,139.371
Vlad,0ozjY1Su7jqd7AGVywwpfw,Astro (ASOT 935),Jean Clemence,ASOT 935 - A State Of Trance Episode 935,0.498,0.9620000000000001,1,-9.539,1,0.10400000000000001,5.94e-05,0.883,0.205,0.0675,138.03
Vlad,1pltbjQmEo91Sosisz69LN,Love You More - Andrew Bayer & Genix In My Next Life Mix,Andrew Bayer,In My Next Life,0.599,0.893,10,-6.6610000000000005,1,0.0578,0.004529999999999999,0.524,0.26,0.24600000000000002,127.008
